Name;SimplePoseEst;
File;E:\TestfahrtDraftSimpleEstimator\TestLang1.csv;
Starttime of export;133209578628370000;Mittwoch, 15. Februar 2023;19:04:22.837
Endtime of export;133209579357070000;Mittwoch, 15. Februar 2023;19:05:35.707


Name;TcModuleOutput_Estimator_vWorld[0] (1);Name;TcModuleOutput_Estimator_vWorld[1] (1);Name;TcModuleOutput_Estimator_vWorld[2] (1);Name;TcModuleOutput_Estimator_vMotors[0] (1);Name;TcModuleOutput_Estimator_vMotors[1] (1);Name;TcModuleOutput_Estimator_vMotors[2] (1);Name;TcModuleOutput_Estimator_vWorld[0];Name;TcModuleOutput_Estimator_vWorld[1];Name;TcModuleOutput_Estimator_vWorld[2];Name;TcModuleOutput_Estimator_vMotors[0];Name;TcModuleOutput_Estimator_vMotors[1];Name;TcModuleOutput_Estimator_vMotors[2];Name;TcModuleInput_InVYfromMotors;Name;TcModuleInput_InVXfromMotors;Name;TcModuleInput_InVThetafromMotors;Name;TcModuleInput_InCameraPose[2];Name;TcModuleInput_InCameraPose[1];Name;TcModuleInput_InCameraPose[0];Name;TcModuleOutput_OutEstY;Name;TcModuleOutput_OutEstX;Name;TcModuleOutput_OutEstTheta;Name;TcModuleOutput_OutDebugCase;Name;TcModuleOutput_Estimator_vWorld[0] (2);Name;TcModuleOutput_Estimator_vWorld[1] (2);Name;TcModuleOutput_Estimator_vWorld[2] (2);Name;TcModuleOutput_Estimator_vMotors[0] (2);Name;TcModuleOutput_Estimator_vMotors[1] (2);Name;TcModuleOutput_Estimator_vMotors[2] (2)
SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10
SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True
SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalOutports.TcModuleOutput_Estimator_vWorld[0];SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalOutports.TcModuleOutput_Estimator_vWorld[1];SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalOutports.TcModuleOutput_Estimator_vWorld[2];SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalOutports.TcModuleOutput_Estimator_vMotors[0];SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalOutports.TcModuleOutput_Estimator_vMotors[1];SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalOutports.TcModuleOutput_Estimator_vMotors[2];SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalOutports.TcModuleOutput_Estimator_vWorld[0];SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalOutports.TcModuleOutput_Estimator_vWorld[1];SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalOutports.TcModuleOutput_Estimator_vWorld[2];SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalOutports.TcModuleOutput_Estimator_vMotors[0];SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalOutports.TcModuleOutput_Estimator_vMotors[1];SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalOutports.TcModuleOutput_Estimator_vMotors[2];SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalInports.TcModuleInput_InVYfromMotors;SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalInports.TcModuleInput_InVXfromMotors;SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalInports.TcModuleInput_InVThetafromMotors;SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalInports.TcModuleInput_InCameraPose[2];SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalInports.TcModuleInput_InCameraPose[1];SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalInports.TcModuleInput_InCameraPose[0];SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalOutports.TcModuleOutput_OutEstY;SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalOutports.TcModuleOutput_OutEstX;SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalOutports.TcModuleOutput_OutEstTheta;SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalOutports.TcModuleOutput_OutDebugCase;SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalOutports.TcModuleOutput_Estimator_vWorld[0];SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalOutports.TcModuleOutput_Estimator_vWorld[1];SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalOutports.TcModuleOutput_Estimator_vWorld[2];SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalOutports.TcModuleOutput_Estimator_vMotors[0];SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalOutports.TcModuleOutput_Estimator_vMotors[1];SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalOutports.TcModuleOutput_Estimator_vMotors[2]
NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1
Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350

0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;2;10;0;10;0;10;0;10;0;10;0;10;0
20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;2;20;0;20;0;20;0;20;0;20;0;20;0
30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;2;30;0;30;0;30;0;30;0;30;0;30;0
