Name;ParameterEstimation;
File;E:\hawino\Measurements\DD6_vx300_vy_300_vtheta1_je2s.csv;
Starttime of export;133204345752131000;Donnerstag, 9. Februar 2023;17:42:55.213
Endtime of export;133204346046031000;Donnerstag, 9. Februar 2023;17:43:24.603


Name;vXFromMotor;Name;vYFromMotor;Name;vThetaFromMotor;Name;i1_raw;Name;i2_raw;Name;i3_raw;Name;vx;Name;vy;Name;vtheta;Name;state;Name;counter;Name;distX;Name;distY;Name;distTheta;Name;taskfreq;Name;camX;Name;camY;Name;camTheta;Name;ErrX;Name;ErrY;Name;ErrTheta;Name;ErrCam;Name;vSoll;Name;i1;Name;i2;Name;i3
SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10
SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True
SymbolName;ParameterEstimation_1.vXFromMotor;SymbolName;ParameterEstimation_1.vYFromMotor;SymbolName;ParameterEstimation_1.vThetaFromMotor;SymbolName;ParameterEstimation_1.i1_raw;SymbolName;ParameterEstimation_1.i2_raw;SymbolName;ParameterEstimation_1.i3_raw;SymbolName;ParameterEstimation_1.vx;SymbolName;ParameterEstimation_1.vy;SymbolName;ParameterEstimation_1.vtheta;SymbolName;ParameterEstimation_1.state;SymbolName;ParameterEstimation_1.counter;SymbolName;ParameterEstimation_1.distX;SymbolName;ParameterEstimation_1.distY;SymbolName;ParameterEstimation_1.distTheta;SymbolName;ParameterEstimation_1.taskfreq;SymbolName;ParameterEstimation_1.camX;SymbolName;ParameterEstimation_1.camY;SymbolName;ParameterEstimation_1.camTheta;SymbolName;ParameterEstimation_1.ErrX;SymbolName;ParameterEstimation_1.ErrY;SymbolName;ParameterEstimation_1.ErrTheta;SymbolName;ParameterEstimation_1.ErrCam;SymbolName;ParameterEstimation_1.vSoll;SymbolName;ParameterEstimation_1.i1;SymbolName;ParameterEstimation_1.i2;SymbolName;ParameterEstimation_1.i3
NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1
Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851

0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;300;0;0;0;0;0;0
10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;10;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;300;10;0;10;0;10;0
20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;10;20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;300;20;0;20;0;20;0
30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;10;30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;300;30;0;30;0;30;0
